Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Part #,LCSC Part,Vol,Voltage,Voltaje,Sim.Pins,MF,MAXIMUM_PACKAGE_HEIGHT,Price,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Description_1,Availability,MANUFACTURER,Sim.Device
J4,1,RS485,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",DB128V-5.08-3P-GN-S,C2915640,,,,,,,,,,,,,,,,
J5,1,PNP_IN,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",DB128V-5.08-2P-GN-S,C2915639,,,,,,,,,,,,,,,,
J6,1,D_IN,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",DB128V-5.08-2P-GN-S,C2915639,,,,,,,,,,,,,,,,
J7,1,NPN_OUT,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",DB128V-5.08-2P-GN-S,C2915639,,,,,,,,,,,,,,,,
J8,1,PNP_OUT,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",DB128V-5.08-2P-GN-S,C2915639,,,,,,,,,,,,,,,,
J9,1,ANALOG_OUT,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",DB128V-5.08-3P-GN-S,C2915640,,,,,,,,,,,,,,,,
"K1, K2",2,SRA-24VDC-CL,RELAY-TH_SRA-X-CX,,,,tht,,SRA-24VDC-CL,C127865,,,,,,,,,,,,,,,,
L1,1,CXP0420-6R8M-AG(6.8UH),IND-SMD_L4.4-W4.2_CXP0420,,,,tht,,CXP0420-6R8M-AG(6.8UH),C7461340,,,,,,,,,,,,,,,,
LED2,1,LiteOn_LTST-C19HE1WT,LED_LiteOn_LTST-C19HE1WT,,,,smt,"RGB LED, PLCC-4, 1.6x1.6mm, common anode, Alternate KiCad Library",LTST-C19HE1WT,C458749,,,,,,,,,,,,,,,,
"Q1, Q3",2,IRLML0040,SOT-23,,,,smt,"SOT-23 N-MOSFET enchancement mode transistor, 40V, 3.6A, 1.3W, Alternate KiCAD Library",IRLML0040,C5364305,,,,,,,,,,,,,,,,
"Q2, Q4",2,AO3407A,SOT-23,,,,smt,"SOT-23 P-MOSFET enchancement mode transistor, 30V, 4.3A, 1.4W, Alternate KiCAD Library",AO3407A,C15155,,,,,,,,,,,,,,,,
Q5,1,IRLML6402TRPBF-JSM,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,,,tht,,IRLML6402TRPBF-JSM,C18190991,,,,,,,,,,,,,,,,
"R1, R2, R6, R7",4,33,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-0733RL,C108661,,,,,,,,,,,,,,,,
R10,1,62k,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RT0603BRD0762KL,C136961,,,,,,,,,,,,,,,,
"R11, R17, R21, R22, R35, R43, R44",7,100,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-07100RL,C105588,,,,,,,,,,,,,,,,
R12,1,120,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-07120RL,C114640,,,,,,,,,,,,,,,,
"R13, R15, R39, R41",4,2k,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-072KL,C105576,,,,,,,,,,,,,,,,
"R14, R16, R34, R40, R42, R48, R50",7,140,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-07140RL,C245910,,,,,,,,,,,,,,,,
"R18, R36, R57, R59, R61",5,22k,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-0722KL,C114065,,,,,,,,,,,,,,,,
"R19, R37",2,30k,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-0730KL,C100001,,,,,,,,,,,,,,,,
"R20, R24, R31, R32, R38, R46, R8",7,1.5k,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-071K5L,C114668,,,,,,,,,,,,,,,,
"R23, R45, R51, R63",4,100k,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-07100KL,C14675,,,,,,,,,,,,,,,,
"R25, R33, R47, R49",4,1k,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-071KL,C22548,,,,,,,,,,,,,,,,
R26,1,147,R_0805_2012Metric,,,,smt,"SMD 0805 Chip Resistor, US Symbol, Alternate KiCad Library",AC0805FR-07147RL,C228308,,,,,,,,,,,,,,,,
"R27, R28, R58, R60",4,4K7,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-074K7L,C99782,,,,,,,,,,,,,,,,
R29,1,0,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-070RL,C100044,,,,,,,,,,,,,,,,
"R3, R4, R5",3,20,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-0720RL,C125758,,,,,,,,,,,,,,,,
R30,1,10K,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-0710RL,C109318,,,,,,,,,,,,,,,,
"R52, R54, R55, R56",4,10k,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-0710RL,C109318,,,,,,,,,,,,,,,,
R53,1,24k,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-0724KL,C137760,,,,,,,,,,,,,,,,
R62,1,2.5k,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",RC0603FR-0724RL,C137758,,,,,,,,,,,,,,,,
R64,1,15,R_0805_2012Metric,,,,smt,"SMD 0805 Chip Resistor, US Symbol, Alternate KiCad Library",RC0805FR-0715RL,C137590,,,,,,,,,,,,,,,,
R9,1,196k,R_0603_1608Metric,,,,smt,"SMD 0603 Chip Resistor, US Symbol, Alternate KiCad Library",FRC0603F1963TS,C2974032,,,,,,,,,,,,,,,,
"SW3, SW4",2,SW_Push,SW_SPST_PTS810,,,,smt,"Push button switch, generic, two pins",SKRPACE010,C139797,,,,,,,,,,,,,,,,
"U10, U11, U14, U15, U16, U17, U18, U19, U20, U8, U9",11,LTV-357T,SO-4_4.4x3.6mm_P2.54mm,,,,smt,"DC Optocoupler, Vce 35V, CTR 50%, SO-4",LTV-357T-C,C119091,,,,,,,,,,,,,,,,
U12,1,GP8201S-TC50-EW,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,,,,smt,,GP8201S-TC50-EW,C5240058,,,,,,,,,,,,,,,,
U13,1,LK1802,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,,,,smt,,LK1802,C2984831,,,,,,,,,,,,,,,,
U21,1,GP8303-TC50-EW,ESOP-10_L4.9-W3.9-P1.00-LS6.1-BL-EP,,,,smt,,GP8303-TC50-EW,C3445809,,,,,,,,,,,,,,,,
U5,1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1U,,,,smt,"2.4 GHz WiFi (802.11 b/g/n) and Bluetooth ® 5 (LE) module Built around ESP32S3 series of SoCs, Xtensa ® dualcore 32bit LX7 microprocessor Flash up to 16 MB, PSRAM up to 8 MB 36 GPIOs, rich set of peripherals Onboard PCB antenna",ESP32-S3-WROOM-1U-N16R8,C3013946,,,,,,,,,,,,,,,,
U6,1,AP63200WU,TSOT-23-6,,,,smt,"2A, 500kHz Buck DC/DC Converter, adjustable output voltage, TSOT-23-6",AP63200WU-7,C2071868,,,,,,,,,,,,,,,,
U7,1,RSM3485ECHT_C2992406,COMM-TH_8P-L19.5-W16.5-P2.54-BL,,,,tht,,RSM3485ECHT,C2992406,,,,,,,,,,,,,,,,
